
Conexiones activas

  Proto  Direcci¢n local          Direcci¢n remota        Estado           PID
  TCP    192.168.1.48:58087     54.209.53.206:443      ESTABLISHED     3824
  TCP    192.168.1.48:58142     142.250.200.138:443    CLOSE_WAIT      20668
  TCP    192.168.1.48:58434     146.75.88.157:443      ESTABLISHED     3824
  TCP    192.168.1.48:58446     23.222.66.220:443      ESTABLISHED     8784
  TCP    192.168.1.48:58447     23.222.66.220:443      ESTABLISHED     8784
  TCP    192.168.1.48:58480     72.247.177.89:443      CLOSE_WAIT      12560
  TCP    192.168.1.48:58482     84.53.132.129:443      CLOSE_WAIT      12560
  TCP    192.168.1.48:58579     142.250.185.14:443     TIME_WAIT       0
  TCP    192.168.1.48:58692     77.234.43.226:80       ESTABLISHED     4264
  TCP    192.168.1.48:58713     20.54.36.229:443       ESTABLISHED     14880
  TCP    192.168.1.48:58716     5.62.54.83:443         ESTABLISHED     4264
  TCP    192.168.1.48:58768     64.233.166.188:5228    ESTABLISHED     1068
  TCP    192.168.1.48:58778     13.107.213.42:443      ESTABLISHED     3824
  TCP    192.168.1.48:58779     13.107.213.42:443      ESTABLISHED     3824
  TCP    192.168.1.48:58781     51.11.192.50:443       ESTABLISHED     3824
  TCP    192.168.1.48:58797     51.11.192.50:443       ESTABLISHED     3824
  TCP    192.168.1.48:58816     142.250.201.78:443     ESTABLISHED     3824
  TCP    192.168.1.48:58817     142.250.178.182:443    ESTABLISHED     3824
  TCP    192.168.1.48:58818     172.217.17.10:443      ESTABLISHED     3824
  TCP    192.168.1.48:58819     212.232.100.13:443     ESTABLISHED     3824
  TCP    192.168.1.48:58820     212.232.100.13:443     ESTABLISHED     3824
  TCP    192.168.1.48:58822     172.217.168.161:443    ESTABLISHED     3824
  TCP    192.168.1.48:58824     142.250.185.2:443      ESTABLISHED     3824
  TCP    192.168.1.48:58825     142.250.184.1:443      ESTABLISHED     3824
  TCP    192.168.1.48:58826     142.250.200.138:443    ESTABLISHED     3824
  TCP    192.168.1.48:58827     142.250.185.6:443      ESTABLISHED     3824
  TCP    192.168.1.48:58829     142.250.200.78:443     ESTABLISHED     3824
  TCP    192.168.1.48:58831     142.250.184.14:443     ESTABLISHED     3824
  TCP    192.168.1.48:58906     142.250.200.110:443    ESTABLISHED     3824
  TCP    192.168.1.48:60432     54.243.132.124:443     ESTABLISHED     8784
  TCP    192.168.1.48:60756     52.155.161.106:443     CLOSE_WAIT      11408
  TCP    192.168.1.48:61587     35.170.3.121:443       ESTABLISHED     8784
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1448
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       6292
  TCP    [::]:19000             [::]:0                 LISTENING       20492
  TCP    [::]:49664             [::]:0                 LISTENING       1072
  TCP    [::]:49665             [::]:0                 LISTENING       624
  TCP    [::]:49666             [::]:0                 LISTENING       1508
  TCP    [::]:49667             [::]:0                 LISTENING       2372
  TCP    [::]:49668             [::]:0                 LISTENING       3336
  TCP    [::]:49669             [::]:0                 LISTENING       4780
  TCP    [::]:49701             [::]:0                 LISTENING       1052
  TCP    [::1]:5554             [::]:0                 LISTENING       1068
  TCP    [::1]:5555             [::]:0                 LISTENING       1068
  TCP    [::1]:12025            [::]:0                 LISTENING       4264
  TCP    [::1]:12110            [::]:0                 LISTENING       4264
  TCP    [::1]:12119            [::]:0                 LISTENING       4264
  TCP    [::1]:12143            [::]:0                 LISTENING       4264
  TCP    [::1]:12465            [::]:0                 LISTENING       4264
  TCP    [::1]:12563            [::]:0                 LISTENING       4264
  TCP    [::1]:12993            [::]:0                 LISTENING       4264
  TCP    [::1]:12995            [::]:0                 LISTENING       4264
